"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 16:35:33 GMT 2024","Fri Aug 23 16:35:35 GMT 2024","1954","","Checkout","","","","Checkout with empty zip code field",""
"passed","Fri Aug 23 16:35:25 GMT 2024","Fri Aug 23 16:35:28 GMT 2024","2485","","Login page","","","","Login with valid credentials",""
"passed","Fri Aug 23 16:35:28 GMT 2024","Fri Aug 23 16:35:28 GMT 2024","602","","Login page","","","","Login with the locked out user",""
"passed","Fri Aug 23 16:35:30 GMT 2024","Fri Aug 23 16:35:31 GMT 2024","1248","","Inventory page","","","","Add a product to the cart",""
"passed","Fri Aug 23 16:35:43 GMT 2024","Fri Aug 23 16:35:44 GMT 2024","1099","","Inventory page","","","","Verifying the product page",""
"passed","Fri Aug 23 16:35:35 GMT 2024","Fri Aug 23 16:35:38 GMT 2024","2300","","Checkout","","","","Cancel the checkout",""
"passed","Fri Aug 23 16:35:39 GMT 2024","Fri Aug 23 16:35:41 GMT 2024","1660","","Inventory page","","","","Verifying the ""All items"" link",""
"passed","Fri Aug 23 16:35:30 GMT 2024","Fri Aug 23 16:35:30 GMT 2024","654","","Login page","","","","Login with an invalid username",""
"passed","Fri Aug 23 16:35:28 GMT 2024","Fri Aug 23 16:35:29 GMT 2024","606","","Login page","","","","Login with the empty username field",""
"passed","Fri Aug 23 16:35:28 GMT 2024","Fri Aug 23 16:35:30 GMT 2024","1537","","Inventory page","","","","Remove a product from the cart",""
"passed","Fri Aug 23 16:35:25 GMT 2024","Fri Aug 23 16:35:28 GMT 2024","2855","","Inventory page","","","","Logout",""
"passed","Fri Aug 23 16:35:36 GMT 2024","Fri Aug 23 16:35:39 GMT 2024","3023","","Inventory page","","","","Verifying the ""About"" link",""
"passed","Fri Aug 23 16:35:29 GMT 2024","Fri Aug 23 16:35:30 GMT 2024","603","","Login page","","","","Login with the empty password field",""
"passed","Fri Aug 23 16:35:41 GMT 2024","Fri Aug 23 16:35:43 GMT 2024","2032","","Inventory page","","","","Chosen products are saved after logout",""
"passed","Fri Aug 23 16:35:31 GMT 2024","Fri Aug 23 16:35:33 GMT 2024","1976","","Checkout","","","","Checkout with empty last name field",""
"passed","Fri Aug 23 16:35:25 GMT 2024","Fri Aug 23 16:35:29 GMT 2024","4047","","Checkout","","","","Checkout",""
"passed","Fri Aug 23 16:35:30 GMT 2024","Fri Aug 23 16:35:31 GMT 2024","578","","Login page","","","","Login with an invalid password",""
"passed","Fri Aug 23 16:35:31 GMT 2024","Fri Aug 23 16:35:50 GMT 2024","19225","","Inventory page","","","","Sorting products",""
"passed","Fri Aug 23 16:35:29 GMT 2024","Fri Aug 23 16:35:31 GMT 2024","1881","","Checkout","","","","Checkout with empty first name field",""
"passed","Fri Aug 23 16:35:44 GMT 2024","Fri Aug 23 16:35:50 GMT 2024","6617","","Inventory page","","","","Verifying the social media links",""
